"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Citrate cycle (TCA cycle)","20","9","5","1.2571","0.030218","0.11562","0.014258","0","0","1","1","0.684384","P1","C00026;C00042;C00036;C00149;C00022;C00122;C00074"
"Propanoate metabolism","22","6","4","1.3829","0.024823","0.12663","0.014549","0","0","1","1","0.684384","P2","C06002;C00042;C00222;C00109;C01013"
"Glycerolipid metabolism","16","7","4","1.0057","0.047992","0.18683","0.016274","0","0","1","1","0.748604","P3","C00184;C00577;C00258;C00111;C00631"
"Tryptophan metabolism","41","31","10","2.5771","0.12971","0.23001","0.017665","0","0","1","1","0.794925","P4","C05635;C00322;C05634;C05660;C05639;C02220;C05645;C01252;C05637;C00954"
"Arginine biosynthesis","14","8","4","0.88","0.079662","0.25267","0.018452","0","0","1","1","0.811888","P5","C00049;C00077;C00026;C00122"
"Pyruvate metabolism","23","8","4","1.4457","0.079662","0.25267","0.018452","0","0","1","1","0.811888","P6","C00036;C00074;C00256;C00022;C00149;C00186;C00122"
"Lysine degradation","30","12","5","1.8857","0.10661","0.26558","0.01892","0","0","1","1","0.811888","P7","C00449;C00956;C00322;C16741;C01149"
"Alanine, aspartate and glutamate metabolism","28","16","6","1.76","0.12424","0.27002","0.019084","0","0","1","1","0.811888","P8","C01042;C02362;C00049;C00402;C00232;C00036;C00122;C00022;C00042;C00026"
"beta-Alanine metabolism","21","5","3","1.32","0.077315","0.30849","0.020585","0","0","1","1","0.8234","P9","C01013;C00222;C00049"
"Cysteine and methionine metabolism","33","17","6","2.0743","0.1582","0.31904","0.021022","0","0","1","1","0.8234","P10","C01180;C00065;C00109;C03232;C02218;C05528;C00022;C00197"
"Glycolysis / Gluconeogenesis","26","14","5","1.6343","0.18465","0.37937","0.023758","0","0","1","1","0.902804","P11","C00022;C00186;C00074;C00631;C00118;C00197;C00036;C00111"
"Lipoic acid metabolism","28","6","3","1.76","0.12981","0.39943","0.024767","0","0","1","1","0.916379","P12","C00022;C00026;C00322"
"D-Amino acid metabolism","15","12","4","0.94286","0.27227","0.52066","0.032228","0","0","1","1","1","P13","C00402;C00065;C00515;C00763;C00036;C00740"
"Glyoxylate and dicarboxylate metabolism","32","12","4","2.0114","0.27227","0.52066","0.032228","0","0","1","1","1","P14","C00149;C00065;C00258;C00022;C00036;C00631"
"Terpenoid backbone biosynthesis","18","3","2","1.1314","0.1279","0.53041","0.032953","0","0","1","1","1","P15","C01107;C03461"
"Valine, leucine and isoleucine biosynthesis","8","8","3","0.50286","0.25807","0.56173","0.035435","0","0","1","1","1","P16","C00188;C00123;C00109;C00407;C00183"
"Valine, leucine and isoleucine degradation","40","13","4","2.5143","0.32959","0.58024","0.037025","0","0","1","1","1","P17","C00164;C00183;C00407;C06002;C00349;C00123;C02170"
"Glycine, serine and threonine metabolism","33","20","5","2.0743","0.47893","0.68505","0.048292","0","0","1","1","1","P18","C00065;C00719;C00197;C00188;C00258;C00631;C00740;C03232;C00109;C03508;C00022"
"Pantothenate and CoA biosynthesis","20","5","2","1.2571","0.31326","0.71722","0.052788","0","0","1","1","1","P19","C00183;C00049"
"Folate biosynthesis","27","8","2","1.6971","0.56799","0.86852","0.087657","0","0","1","1","1","P20","C03684;C15522;C00835"
"Drug metabolism - cytochrome P450","55","15","3","3.4571","0.69221","0.88241","0.093029","3","0.03","1","1","1","P21","C16595;C16587;C16596;C16591"
"Pentose phosphate pathway","23","21","4","1.4457","0.73287","0.88276","0.093173","3","0.03","1","1","1","P22","C00118;C00345;C00258;C00631"
"Arginine and proline metabolism","36","21","4","2.2629","0.73287","0.88276","0.093173","0","0","1","1","1","P23","C01035;C00763;C00148;C00077;C00022"
"Inositol phosphate metabolism","30","9","2","1.8857","0.6367","0.89828","0.10006","9","0.09","1","1","1","P24","C00222;C00111;C00118"
"Butanoate metabolism","15","9","2","0.94286","0.6367","0.89828","0.10006","0","0","1","1","1","P25","C00164;C00232;C00026;C00042;C02630"
"Metabolism of xenobiotics by cytochrome P450","68","28","5","4.2743","0.79485","0.90526","0.10354","0","0","1","1","1","P26","C14800;C14040;C14871;C14801;C14802"
"Tyrosine metabolism","42","38","6","2.64","0.89503","0.95337","0.13851","70","0.7","1","1","1","P27","C03758;C00355;C01061;C01036;C00022;C00122;C00164"
"Fructose and mannose metabolism","20","15","2","1.2571","0.88633","0.9785","0.17652","3","0.03","1","1","1","P28","C00118;C00577;C00111"
"Purine metabolism","70","24","2","4.4","0.98434","0.99801","0.28569","5","0.05","1","1","1","P29","C00130;C00366;C22500"
"Pentose and glucuronate interconversions","19","16","1","1.1943","0.98421","1","1","48","0.48","1","1","1","P30","C02266"
"Ascorbate and aldarate metabolism","9","5","1","0.56571","0.72135","1","1","37","0.37","1","1","1","P31","C02670"
"Fatty acid biosynthesis","47","4","1","2.9543","0.63973","1","1","0","0","1","1","1","P32","C00249"
"Fatty acid elongation","39","1","1","2.4514","0.22449","1","1","0","0","1","1","1","P33","C00249"
"Fatty acid degradation","39","1","1","2.4514","0.22449","1","1","0","0","1","1","1","P34","C00249"
"Caffeine metabolism","10","6","1","0.62857","0.78462","1","1","0","0","1","1","1","P35","C07481"
"Histidine metabolism","16","11","1","1.0057","0.94118","1","1","9","0.09","1","1","1","P36","C00439;C00049"
"Phenylalanine metabolism","8","7","1","0.50286","0.83364","1","1","84","0.84","1","1","1","P37","C00079"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","1","0.25143","0.63973","1","1","93","0.93","1","1","1","P38","C00079"
"Glutathione metabolism","28","3","1","1.76","0.53452","1","1","0","0","1","1","1","P39","C00077"
"Amino sugar and nucleotide sugar metabolism","42","24","1","2.64","0.99815","1","1","22","0.22","1","1","1","P40","C00140;C00645;C01132"
"Glycerophospholipid metabolism","36","6","1","2.2629","0.78462","1","1","57","0.57","1","1","1","P41","C00111"
"Arachidonic acid metabolism","44","17","1","2.7657","0.98789","1","1","0","0","1","1","1","P42","C00219"
"Sphingolipid metabolism","32","1","1","2.0114","0.22449","1","1","0","0","1","1","1","P43","C00065"
"Vitamin B6 metabolism","9","7","1","0.56571","0.83364","1","1","58","0.58","1","1","1","P44","C06055"
"Nicotinate and nicotinamide metabolism","15","9","1","0.94286","0.90095","1","1","3","0.03","1","1","1","P45","C00049;C05840"
"Retinol metabolism","17","4","1","1.0686","0.63973","1","1","0","0","1","1","1","P46","C00473;C16682;C00899"
"Drug metabolism - other enzymes","39","12","1","2.4514","0.95473","1","1","5","0.05","1","1","1","P47","C07648"
"Biosynthesis of unsaturated fatty acids","36","3","1","2.2629","0.53452","1","1","0","0","1","1","1","P48","C00249;C00219;C06428"
